# ----------------------------------------
# Pure Impressions
# Demographics: Age
# 20170724-20170823
# ----------------------------------------

Age,Date Range,Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Place an order (Goal 1 Conversion Rate),Place an order (Goal 1 Completions),Place an order (Goal 1 Value)
25-34,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,30,93.33%,28,16.67%,11.67,00:04:44,10.00%,3,$0.00
25-34,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
25-34,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
25-34,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
35-44,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,29,82.76%,24,17.24%,9.17,00:03:46,6.90%,2,$0.00
35-44,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,20,80.00%,16,0.00%,15.80,00:06:45,15.00%,3,$0.00
35-44,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
35-44,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
45-54,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,23,73.91%,17,17.39%,10.65,00:05:27,8.70%,2,$0.00
45-54,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,20,80.00%,16,0.00%,11.95,00:05:25,0.00%,0,$0.00
45-54,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
45-54,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
18-24,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,20,55.00%,11,0.00%,15.65,00:11:12,5.00%,1,$0.00
18-24,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
18-24,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
18-24,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,10,90.00%,9,40.00%,8.80,00:02:56,20.00%,2,$0.00
55-64,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,11,81.82%,9,9.09%,15.55,00:06:25,9.09%,1,$0.00
55-64,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,12,75.00%,9,16.67%,15.33,00:04:19,8.33%,1,$0.00
55-64,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
55-64,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,113,78.76%,89,13.27%,11.90,00:05:56,7.96%,9,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,52,78.85%,41,3.85%,14.21,00:05:41,7.69%,4,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,10,90.00%,9,40.00%,8.80,00:02:56,20.00%,2,$0.00
