# ----------------------------------------
# Pure Impressions
# Demographics: Gender
# 20170724-20170823
# ----------------------------------------

Gender,Date Range,Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Place an order (Goal 1 Conversion Rate),Place an order (Goal 1 Completions),Place an order (Goal 1 Value)
female,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,106,79.25%,84,13.21%,12.43,00:06:14,8.49%,9,$0.00
female,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,74,72.97%,54,4.05%,14.59,00:08:05,12.16%,9,$0.00
female,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,19,73.68%,14,0.00%,22.32,00:08:37,26.32%,5,$0.00
female,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,24,91.67%,22,29.17%,10.04,00:04:34,25.00%,6,$0.00
male,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,15,86.67%,13,13.33%,9.93,00:03:03,6.67%,1,$0.00
male,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
male,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
male,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,121,80.17%,97,13.22%,12.12,00:05:50,8.26%,10,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,74,72.97%,54,4.05%,14.59,00:08:05,12.16%,9,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,19,73.68%,14,0.00%,22.32,00:08:37,26.32%,5,$0.00
,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,24,91.67%,22,29.17%,10.04,00:04:34,25.00%,6,$0.00
