# ----------------------------------------
# Pure Impressions
# Location
# 20170724-20170823
# ----------------------------------------

Country,Date Range,Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Place an order (Goal 1 Conversion Rate),Place an order (Goal 1 Completions),Place an order (Goal 1 Value)
United States,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,120,84.17%,101,13.33%,11.39,00:04:57,6.67%,8,$0.00
United States,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,64,84.38%,54,1.56%,18.23,00:07:01,21.88%,14,$0.00
United States,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,25,72.00%,18,0.00%,19.48,00:07:41,28.00%,7,$0.00
United States,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,41,82.93%,34,39.02%,7.17,00:03:13,14.63%,6,$0.00
Canada,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,12,83.33%,10,8.33%,11.00,00:05:05,0.00%,0,$0.00
Canada,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,11,72.73%,8,9.09%,10.36,00:05:28,0.00%,0,$0.00
Canada,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,1,100.00%,1,0.00%,12.00,00:02:13,0.00%,0,$0.00
Canada,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
India,"Jul 24, 2017 - Aug 23, 2017",Metaphysical Collection,9,11.11%,1,0.00%,19.33,00:27:23,0.00%,0,$0.00
India,"Jul 24, 2017 - Aug 23, 2017",Mother Jewelry,16,25.00%,4,6.25%,10.81,00:18:15,0.00%,0,$0.00
India,"Jul 24, 2017 - Aug 23, 2017",Sorority Collection,0,0.00%,0,0.00%,0.00,00:00:00,0.00%,0,$0.00
India,"Jul 24, 2017 - Aug 23, 2017",Eclipse Necklace,2,0.00%,0,0.00%,7.00,00:08:27,0.00%,0,$0.00
